,state_prev,action,next_reward,next_state,game_over
396,[19.5542968 16.        18.         1.7      ],"[tensor([-144.1416], grad_fn=<AddBackward0>)]",-7.25,[19.43321522 17.         18.          1.6       ],False
397,[19.43321522 17.         18.          1.6       ],"[tensor([-143.6320], grad_fn=<AddBackward0>)]",-8.69,[19.39491504 18.         18.          1.7       ],False
398,[19.39491504 18.         18.          1.7       ],"[tensor([-143.3050], grad_fn=<AddBackward0>)]",-9.59,[19.35011996 19.         18.          2.        ],False
399,[19.35011996 19.         18.          2.        ],"[tensor([-142.8257], grad_fn=<AddBackward0>)]",-11.28,[19.1791745 20.        18.         1.7      ],False
400,[19.1791745 20.        18.         1.7      ],"[tensor([-141.7656], grad_fn=<AddBackward0>)]",-13.01,[19.10049208 21.         18.          1.2       ],False
401,[19.10049208 21.         18.          1.2       ],"[tensor([-141.1830], grad_fn=<AddBackward0>)]",-14.3,[19.01011121 22.         18.          1.2       ],False
402,[19.01011121 22.         18.          1.2       ],"[tensor([-140.5781], grad_fn=<AddBackward0>)]",-15.1,[18.98642124 23.         18.          1.7       ],False
403,[18.98642124 23.         18.          1.7       ],"[tensor([-140.3124], grad_fn=<AddBackward0>)]",-15.4,[18.98223858  1.         19.          2.        ],False
404,[18.98223858  1.         19.          2.        ],"[tensor([-139.5608], grad_fn=<AddBackward0>)]",-15.6,[18.96313381  1.         19.          2.        ],False
405,[18.96313381  1.         19.          2.        ],"[tensor([-139.1992], grad_fn=<AddBackward0>)]",-15.84,[18.94946085  2.         19.          1.7       ],False
406,[18.94946085  2.         19.          1.7       ],"[tensor([-139.0244], grad_fn=<AddBackward0>)]",-16.16,[18.92411912  3.         19.          1.5       ],False
407,[18.92411912  3.         19.          1.5       ],"[tensor([-138.8914], grad_fn=<AddBackward0>)]",-16.29,[18.92844982  4.         19.          1.5       ],False
408,[18.92844982  4.         19.          1.5       ],"[tensor([-139.0013], grad_fn=<AddBackward0>)]",-16.36,[18.92181347  5.         19.          1.2       ],False
409,[18.92181347  5.         19.          1.2       ],"[tensor([-139.1703], grad_fn=<AddBackward0>)]",-16.3,[18.93092667  6.         19.          1.1       ],False
410,[18.93092667  6.         19.          1.1       ],"[tensor([-139.4550], grad_fn=<AddBackward0>)]",-16.02,[18.97874681  7.         19.          1.        ],False
411,[18.97874681  7.         19.          1.        ],"[tensor([-139.9457], grad_fn=<AddBackward0>)]",-14.85,[19.09581913  8.         19.          0.7       ],False
412,[19.09581913  8.         19.          0.7       ],"[tensor([-140.8220], grad_fn=<AddBackward0>)]",-22.23,[19.18470366  9.         19.          0.1       ],False
413,[19.18470366  9.         19.          0.1       ],"[tensor([-141.8571], grad_fn=<AddBackward0>)]",-20.54,[19.30619371 10.         19.          0.        ],False
414,[19.30619371 10.         19.          0.        ],"[tensor([-143.1259], grad_fn=<AddBackward0>)]",-19.11,[19.38052735 11.         19.          0.        ],False
415,[19.38052735 11.         19.          0.        ],"[tensor([-144.2357], grad_fn=<AddBackward0>)]",-18.05,[19.44596516 12.         19.          0.        ],False
416,[19.44596516 12.         19.          0.        ],"[tensor([-145.3459], grad_fn=<AddBackward0>)]",-17.04,[19.50674954 13.         19.          0.        ],False
417,[19.50674954 13.         19.          0.        ],"[tensor([-146.4645], grad_fn=<AddBackward0>)]",-16.33,[19.60005983 14.         19.          0.        ],False
418,[19.60005983 14.         19.          0.        ],"[tensor([-147.8144], grad_fn=<AddBackward0>)]",-15.51,[19.62432851 15.         19.          0.        ],False
419,[19.62432851 15.         19.          0.        ],"[tensor([-148.8643], grad_fn=<AddBackward0>)]",-5.93,[19.5558436 16.        19.         0.       ],False
420,[19.5558436 16.        19.         0.       ],"[tensor([-149.1350], grad_fn=<AddBackward0>)]",-7.11,[19.45237369 17.         19.          0.1       ],False
421,[19.45237369 17.         19.          0.1       ],"[tensor([-148.9444], grad_fn=<AddBackward0>)]",-8.57,[19.39514327 18.         19.          0.2       ],False
422,[19.39514327 18.         19.          0.2       ],"[tensor([-148.7442], grad_fn=<AddBackward0>)]",-9.54,[19.3573666 19.        19.         0.       ],False
423,[19.3573666 19.        19.         0.       ],"[tensor([-148.5076], grad_fn=<AddBackward0>)]",-11.12,[19.1975959 20.        19.        -0.4      ],False
424,[19.1975959 20.        19.        -0.4      ],"[tensor([-147.6151], grad_fn=<AddBackward0>)]",-12.78,[19.11728582 21.         19.         -0.5       ],False
425,[19.11728582 21.         19.         -0.5       ],"[tensor([-147.0521], grad_fn=<AddBackward0>)]",-14.11,[19.02098699 22.         19.         -1.2       ],False
426,[19.02098699 22.         19.         -1.2       ],"[tensor([-146.5049], grad_fn=<AddBackward0>)]",-15.09,[18.98115005 23.         19.         -1.        ],False
427,[18.98115005 23.         19.         -1.        ],"[tensor([-146.1760], grad_fn=<AddBackward0>)]",-15.4,[18.98696953  1.         20.         -0.7       ],False
428,[18.98696953  1.         20.         -0.7       ],"[tensor([-146.3479], grad_fn=<AddBackward0>)]",-15.57,[18.96655234  1.         20.         -0.7       ],False
429,[18.96655234  1.         20.         -0.7       ],"[tensor([-145.9749], grad_fn=<AddBackward0>)]",-15.56,[18.97731619  2.         20.         -0.5       ],False
430,[18.97731619  2.         20.         -0.5       ],"[tensor([-145.8155], grad_fn=<AddBackward0>)]",-15.62,[18.96639114  3.         20.         -0.4       ],False
431,[18.96639114  3.         20.         -0.4       ],"[tensor([-145.6174], grad_fn=<AddBackward0>)]",-15.85,[18.94534321  4.         20.         -0.2       ],False
432,[18.94534321  4.         20.         -0.2       ],"[tensor([-145.4218], grad_fn=<AddBackward0>)]",-16.07,[18.93474312  5.         20.         -0.5       ],False
433,[18.93474312  5.         20.         -0.5       ],"[tensor([-145.4072], grad_fn=<AddBackward0>)]",-16.25,[18.92063148  6.         20.         -0.2       ],False
434,[18.92063148  6.         20.         -0.2       ],"[tensor([-145.3683], grad_fn=<AddBackward0>)]",-16.39,[18.91338855  7.         20.         -0.2       ],False
435,[18.91338855  7.         20.         -0.2       ],"[tensor([-145.4381], grad_fn=<AddBackward0>)]",-16.12,[18.97004373  8.         20.         -0.5       ],False
436,[18.97004373  8.         20.         -0.5       ],"[tensor([-145.9171], grad_fn=<AddBackward0>)]",-25.68,[18.98205083  9.         20.         -0.2       ],False
437,[18.98205083  9.         20.         -0.2       ],"[tensor([-146.3894], grad_fn=<AddBackward0>)]",-25.67,[18.96481915 10.         20.         -0.2       ],False
438,[18.96481915 10.         20.         -0.2       ],"[tensor([-147.1037], grad_fn=<AddBackward0>)]",-25.73,[18.96642466 11.         20.          0.        ],False
439,[18.96642466 11.         20.          0.        ],"[tensor([-148.1602], grad_fn=<AddBackward0>)]",-25.630000000000003,[18.97883384 12.         20.          0.        ],False
440,[18.97883384 12.         20.          0.        ],"[tensor([-149.5878], grad_fn=<AddBackward0>)]",-25.46,[18.98699246 13.         20.          0.1       ],False
441,[18.98699246 13.         20.          0.1       ],"[tensor([-151.2634], grad_fn=<AddBackward0>)]",-25.380000000000003,[18.98770031 14.         20.          0.        ],False
442,[18.98770031 14.         20.          0.        ],"[tensor([-153.2397], grad_fn=<AddBackward0>)]",-25.4,[18.98446198 15.         20.          0.5       ],False
443,[18.98446198 15.         20.          0.5       ],"[tensor([-155.3989], grad_fn=<AddBackward0>)]",-15.52,[18.9766007 16.        20.         4.1      ],False
444,[18.9766007 16.        20.         4.1      ],"[tensor([-157.1188], grad_fn=<AddBackward0>)]",-15.7,[18.96586006 17.         20.          4.6       ],False
445,[18.96586006 17.         20.          4.6       ],"[tensor([-158.8990], grad_fn=<AddBackward0>)]",-15.85,[18.95996822 18.         20.          6.2       ],False
446,[18.95996822 18.         20.          6.2       ],"[tensor([-160.5061], grad_fn=<AddBackward0>)]",-15.96,[18.95647252 19.         20.          7.5       ],False
447,[18.95647252 19.         20.          7.5       ],"[tensor([-161.9610], grad_fn=<AddBackward0>)]",-16.13,[18.94353211 20.         20.          6.2       ],False
448,[18.94353211 20.         20.          6.2       ],"[tensor([-163.4910], grad_fn=<AddBackward0>)]",-16.43,[18.92136584 21.         20.          6.2       ],False
449,[18.92136584 21.         20.          6.2       ],"[tensor([-164.8034], grad_fn=<AddBackward0>)]",-17.07,[18.84761475 22.         20.          5.7       ],False
450,[18.84761475 22.         20.          5.7       ],"[tensor([-165.8928], grad_fn=<AddBackward0>)]",-18.01,[18.79562601 23.         20.          5.5       ],False
451,[18.79562601 23.         20.          5.5       ],"[tensor([-167.0206], grad_fn=<AddBackward0>)]",-18.51,[18.78710789  1.         21.          5.5       ],False
452,[18.78710789  1.         21.          5.5       ],"[tensor([-169.2328], grad_fn=<AddBackward0>)]",-18.57,[18.79220274  1.         21.          5.5       ],False
453,[18.79220274  1.         21.          5.5       ],"[tensor([-170.2130], grad_fn=<AddBackward0>)]",-18.55,[18.79041404  2.         21.          5.6       ],False
454,[18.79041404  2.         21.          5.6       ],"[tensor([-171.1222], grad_fn=<AddBackward0>)]",-18.52,[18.79331096  3.         21.          5.5       ],False
455,[18.79331096  3.         21.          5.5       ],"[tensor([-172.1073], grad_fn=<AddBackward0>)]",-18.47,[18.79799931  4.         21.          5.7       ],False
456,[18.79799931  4.         21.          5.7       ],"[tensor([-173.0424], grad_fn=<AddBackward0>)]",-18.36,[18.80477826  5.         21.          5.6       ],False
457,[18.80477826  5.         21.          5.6       ],"[tensor([-174.0230], grad_fn=<AddBackward0>)]",-18.39,[18.79624618  6.         21.          5.7       ],False
458,[18.79624618  6.         21.          5.7       ],"[tensor([-174.8572], grad_fn=<AddBackward0>)]",-18.37,[18.80216494  7.         21.          5.6       ],False
459,[18.80216494  7.         21.          5.6       ],"[tensor([-175.7545], grad_fn=<AddBackward0>)]",-17.96,[18.86414126  8.         21.          4.7       ],False
460,[18.86414126  8.         21.          4.7       ],"[tensor([-177.0902], grad_fn=<AddBackward0>)]",-27.46,[18.87565584  9.         21.          5.2       ],False
461,[18.87565584  9.         21.          5.2       ],"[tensor([-178.1976], grad_fn=<AddBackward0>)]",-27.22,[18.88457583 10.         21.          6.        ],False
462,[18.88457583 10.         21.          6.        ],"[tensor([-179.5987], grad_fn=<AddBackward0>)]",-27.08,[18.8933267 11.        21.         5.7      ],False
463,[18.8933267 11.        21.         5.7      ],"[tensor([-181.4712], grad_fn=<AddBackward0>)]",-26.9,[18.90615174 12.         21.          6.        ],False
464,[18.90615174 12.         21.          6.        ],"[tensor([-183.4990], grad_fn=<AddBackward0>)]",-26.73,[18.91349982 13.         21.          6.1       ],False
465,[18.91349982 13.         21.          6.1       ],"[tensor([-185.7986], grad_fn=<AddBackward0>)]",-26.59,[18.92026978 14.         21.          6.        ],False
466,[18.92026978 14.         21.          6.        ],"[tensor([-188.3523], grad_fn=<AddBackward0>)]",-26.53,[18.91896772 15.         21.          5.2       ],False
467,[18.91896772 15.         21.          5.2       ],"[tensor([-191.0305], grad_fn=<AddBackward0>)]",-16.39,[18.93456815 16.         21.          5.        ],False
468,[18.93456815 16.         21.          5.        ],"[tensor([-193.4696], grad_fn=<AddBackward0>)]",-15.24,[19.05415487 17.         21.          4.6       ],False
469,[19.05415487 17.         21.          4.6       ],"[tensor([-196.1960], grad_fn=<AddBackward0>)]",-14.01,[19.10811383 18.         21.          4.5       ],False
470,[19.10811383 18.         21.          4.5       ],"[tensor([-198.1836], grad_fn=<AddBackward0>)]",-13.03,[19.16666011 19.         21.          4.6       ],False
471,[19.16666011 19.         21.          4.6       ],"[tensor([-199.7857], grad_fn=<AddBackward0>)]",-12.09,[19.23041279 20.         21.          5.        ],False
472,[19.23041279 20.         21.          5.        ],"[tensor([-201.0162], grad_fn=<AddBackward0>)]",-11.83,[19.21280719 21.         21.          5.        ],False
473,[19.21280719 21.         21.          5.        ],"[tensor([-201.3414], grad_fn=<AddBackward0>)]",-12.29,[19.14504053 22.         21.          5.1       ],False
474,[19.14504053 22.         21.          5.1       ],"[tensor([-200.9910], grad_fn=<AddBackward0>)]",-13.04,[19.11193877 23.         21.          5.7       ],False
475,[19.11193877 23.         21.          5.7       ],"[tensor([-200.4923], grad_fn=<AddBackward0>)]",-13.44,[19.09929663  1.         22.          6.        ],False
476,[19.09929663  1.         22.          6.        ],"[tensor([-199.7091], grad_fn=<AddBackward0>)]",-13.7,[19.08228514  1.         22.          6.        ],False
477,[19.08228514  1.         22.          6.        ],"[tensor([-198.7211], grad_fn=<AddBackward0>)]",-13.81,[19.08102679  2.         22.          6.5       ],False
478,[19.08102679  2.         22.          6.5       ],"[tensor([-197.5303], grad_fn=<AddBackward0>)]",-13.83,[19.08207428  3.         22.          6.6       ],False
479,[19.08207428  3.         22.          6.6       ],"[tensor([-196.1691], grad_fn=<AddBackward0>)]",-13.87,[19.07661472  4.         22.          6.7       ],False
480,[19.07661472  4.         22.          6.7       ],"[tensor([-194.5783], grad_fn=<AddBackward0>)]",-13.87,[19.07965333  5.         22.          7.        ],False
481,[19.07965333  5.         22.          7.        ],"[tensor([-192.8612], grad_fn=<AddBackward0>)]",-13.88,[19.07831502  6.         22.          7.7       ],False
482,[19.07831502  6.         22.          7.7       ],"[tensor([-190.9337], grad_fn=<AddBackward0>)]",-13.51,[19.14141117  7.         22.          8.7       ],False
483,[19.14141117  7.         22.          8.7       ],"[tensor([-189.2186], grad_fn=<AddBackward0>)]",-12.3,[19.25938701  8.         22.          9.5       ],False
484,[19.25938701  8.         22.          9.5       ],"[tensor([-187.7526], grad_fn=<AddBackward0>)]",-19.7,[19.3932227  9.        22.         9.6      ],False
485,[19.3932227  9.        22.         9.6      ],"[tensor([-186.6921], grad_fn=<AddBackward0>)]",-17.490000000000002,[19.5623436 10.        22.         8.7      ],False
486,[19.5623436 10.        22.         8.7      ],"[tensor([-186.0226], grad_fn=<AddBackward0>)]",-14.98,[19.74587067 11.         22.          9.2       ],False
487,[19.74587067 11.         22.          9.2       ],"[tensor([-185.3132], grad_fn=<AddBackward0>)]",-12.92,[19.83591616 12.         22.          9.2       ],False
488,[19.83591616 12.         22.          9.2       ],"[tensor([-183.9773], grad_fn=<AddBackward0>)]",-11.91,[19.87908613 13.         22.          9.5       ],False
489,[19.87908613 13.         22.          9.5       ],"[tensor([-182.1951], grad_fn=<AddBackward0>)]",-11.51,[19.92188607 14.         22.          9.6       ],False
490,[19.92188607 14.         22.          9.6       ],"[tensor([-180.3763], grad_fn=<AddBackward0>)]",-11.18,[19.92477477 15.         22.          8.7       ],False
491,[19.92477477 15.         22.          8.7       ],"[tensor([-178.2539], grad_fn=<AddBackward0>)]",-2.23,[19.79221509 16.         22.          8.7       ],False
492,[19.79221509 16.         22.          8.7       ],"[tensor([-174.8958], grad_fn=<AddBackward0>)]",-3.87,[19.66801189 17.         22.          8.2       ],False
493,[19.66801189 17.         22.          8.2       ],"[tensor([-171.2971], grad_fn=<AddBackward0>)]",-5.66,[19.59204558 18.         22.          8.        ],False
494,[19.59204558 18.         22.          8.        ],"[tensor([-167.8069], grad_fn=<AddBackward0>)]",-6.9,[19.52675747 19.         22.          8.        ],False
495,[19.52675747 19.         22.          8.        ],"[tensor([-164.2944], grad_fn=<AddBackward0>)]",-8.84,[19.33361046 20.         22.          8.1       ],False
496,[19.33361046 20.         22.          8.1       ],"[tensor([-160.2063], grad_fn=<AddBackward0>)]",-10.61,[19.26882939 21.         22.          8.        ],False
497,[19.26882939 21.         22.          8.        ],"[tensor([-156.8970], grad_fn=<AddBackward0>)]",-11.65,[19.2004984 22.        22.         8.1      ],False
498,[19.2004984 22.        22.         8.1      ],"[tensor([-153.7438], grad_fn=<AddBackward0>)]",-12.33,[19.17212579 23.         22.          8.7       ],False
499,[19.17212579 23.         22.          8.7       ],"[tensor([-150.8839], grad_fn=<AddBackward0>)]",-12.47,[19.182498  1.       23.        9.      ],False
500,[19.182498  1.       23.        9.      ],"[tensor([-154.5006], grad_fn=<AddBackward0>)]",-12.32,[19.19315148  1.         23.          9.        ],False
501,[19.19315148  1.         23.          9.        ],"[tensor([-152.2740], grad_fn=<AddBackward0>)]",-12.22,[19.19231285  2.         23.          9.1       ],False
502,[19.19231285  2.         23.          9.1       ],"[tensor([-149.8460], grad_fn=<AddBackward0>)]",-12.09,[19.20541004  3.         23.          9.        ],False
503,[19.20541004  3.         23.          9.        ],"[tensor([-147.6737], grad_fn=<AddBackward0>)]",-11.96,[19.21171692  4.         23.         10.        ],False
504,[19.21171692  4.         23.         10.        ],"[tensor([-145.1259], grad_fn=<AddBackward0>)]",-11.89,[19.21259437  5.         23.         10.2       ],False
505,[19.21259437  5.         23.         10.2       ],"[tensor([-142.9721], grad_fn=<AddBackward0>)]",-11.79,[19.22113257  6.         23.          9.2       ],False
506,[19.22113257  6.         23.          9.2       ],"[tensor([-141.4497], grad_fn=<AddBackward0>)]",-11.16,[19.30691448  7.         23.          5.6       ],False
507,[19.30691448  7.         23.          5.6       ],"[tensor([-141.6426], grad_fn=<AddBackward0>)]",-9.44,[19.47142326  8.         23.          4.7       ],False
508,[19.47142326  8.         23.          4.7       ],"[tensor([-141.0119], grad_fn=<AddBackward0>)]",-15.969999999999999,[19.72979358  9.         23.          4.7       ],False
509,[19.72979358  9.         23.          4.7       ],"[tensor([-140.6148], grad_fn=<AddBackward0>)]",-13.43,[19.82728349 10.         23.          4.7       ],False
510,[19.82728349 10.         23.          4.7       ],"[tensor([-139.6152], grad_fn=<AddBackward0>)]",-12.68,[19.80663363 11.         23.          5.2       ],False
511,[19.80663363 11.         23.          5.2       ],"[tensor([-137.9638], grad_fn=<AddBackward0>)]",-12.57,[19.84022515 12.         23.          6.        ],False
512,[19.84022515 12.         23.          6.        ],"[tensor([-136.4725], grad_fn=<AddBackward0>)]",-12.22,[19.86664443 13.         23.          6.2       ],False
513,[19.86664443 13.         23.          6.2       ],"[tensor([-135.2710], grad_fn=<AddBackward0>)]",-12.120000000000001,[19.87332888 14.         23.          6.2       ],False
514,[19.87332888 14.         23.          6.2       ],"[tensor([-134.2182], grad_fn=<AddBackward0>)]",-12.04,[19.87733993 15.         23.          6.        ],False
515,[19.87733993 15.         23.          6.        ],"[tensor([-133.3843], grad_fn=<AddBackward0>)]",-2.54,[19.81792596 16.         23.          5.7       ],False
516,[19.81792596 16.         23.          5.7       ],"[tensor([-132.1266], grad_fn=<AddBackward0>)]",-3.09,[19.79447151 17.         23.          5.2       ],False
517,[19.79447151 17.         23.          5.2       ],"[tensor([-130.8987], grad_fn=<AddBackward0>)]",-3.75,[19.7464756 18.        23.         5.5      ],False
518,[19.7464756 18.        23.         5.5      ],"[tensor([-129.0901], grad_fn=<AddBackward0>)]",-4.58,[19.68800618 19.         23.          5.2       ],False
519,[19.68800618 19.         23.          5.2       ],"[tensor([-127.4637], grad_fn=<AddBackward0>)]",-6.4,[19.48633543 20.         23.          5.        ],False
520,[19.48633543 20.         23.          5.        ],"[tensor([-125.2212], grad_fn=<AddBackward0>)]",-8.25,[19.41489986 21.         23.          4.2       ],False
521,[19.41489986 21.         23.          4.2       ],"[tensor([-123.8314], grad_fn=<AddBackward0>)]",-9.33,[19.34474026 22.         23.          4.5       ],False
522,[19.34474026 22.         23.          4.5       ],"[tensor([-121.9539], grad_fn=<AddBackward0>)]",-9.99,[19.31851724 23.         23.          4.5       ],False
523,[19.31851724 23.         23.          4.5       ],"[tensor([-120.4824], grad_fn=<AddBackward0>)]",-10.09,[19.33173108  1.         24.          3.6       ],False
524,[19.33173108  1.         24.          3.6       ],"[tensor([-122.8580], grad_fn=<AddBackward0>)]",-9.99,[19.33432584  1.         24.          3.6       ],False
525,[19.33432584  1.         24.          3.6       ],"[tensor([-121.5450], grad_fn=<AddBackward0>)]",-9.88,[19.33940066  2.         24.          4.5       ],False
526,[19.33940066  2.         24.          4.5       ],"[tensor([-119.5217], grad_fn=<AddBackward0>)]",-9.81,[19.34249044  3.         24.          3.7       ],False
527,[19.34249044  3.         24.          3.7       ],"[tensor([-118.7320], grad_fn=<AddBackward0>)]",-9.8,[19.33808482  4.         24.          3.5       ],False
528,[19.33808482  4.         24.          3.5       ],"[tensor([-117.5589], grad_fn=<AddBackward0>)]",-9.56,[19.36621161  5.         24.          3.5       ],False
529,[19.36621161  5.         24.          3.5       ],"[tensor([-116.4285], grad_fn=<AddBackward0>)]",-9.25,[19.38217922  6.         24.          3.1       ],False
530,[19.38217922  6.         24.          3.1       ],"[tensor([-115.5626], grad_fn=<AddBackward0>)]",-9.0,[19.41483622  7.         24.          3.        ],False
531,[19.41483622  7.         24.          3.        ],"[tensor([-114.5749], grad_fn=<AddBackward0>)]",-9.07,[19.40958057  8.         24.          3.        ],False
532,[19.40958057  8.         24.          3.        ],"[tensor([-113.3883], grad_fn=<AddBackward0>)]",-17.86,[19.46634299  9.         24.          3.7       ],False
533,[19.46634299  9.         24.          3.7       ],"[tensor([-112.2266], grad_fn=<AddBackward0>)]",-17.22,[19.50567948 10.         24.          3.7       ],False
534,[19.50567948 10.         24.          3.7       ],"[tensor([-111.8063], grad_fn=<AddBackward0>)]",-16.68,[19.53611209 11.         24.          4.6       ],False
535,[19.53611209 11.         24.          4.6       ],"[tensor([-110.9228], grad_fn=<AddBackward0>)]",-15.54,[19.66083737 12.         24.          5.5       ],False
536,[19.66083737 12.         24.          5.5       ],"[tensor([-110.5436], grad_fn=<AddBackward0>)]",-13.44,[19.84310214 13.         24.          3.2       ],False
537,[19.84310214 13.         24.          3.2       ],"[tensor([-112.7215], grad_fn=<AddBackward0>)]",-11.76,[19.94576809 14.         24.          3.7       ],False
538,[19.94576809 14.         24.          3.7       ],"[tensor([-112.7412], grad_fn=<AddBackward0>)]",-10.81,[19.95867921 15.         24.          3.2       ],False
539,[19.95867921 15.         24.          3.2       ],"[tensor([-113.1899], grad_fn=<AddBackward0>)]",-1.52,[19.85935969 16.         24.          3.7       ],False
540,[19.85935969 16.         24.          3.7       ],"[tensor([-112.2694], grad_fn=<AddBackward0>)]",-2.92,[19.73921968 17.         24.          4.        ],False
541,[19.73921968 17.         24.          4.        ],"[tensor([-111.2448], grad_fn=<AddBackward0>)]",-4.58,[19.65654073 18.         24.          3.7       ],False
542,[19.65654073 18.         24.          3.7       ],"[tensor([-110.6174], grad_fn=<AddBackward0>)]",-5.74,[19.60601473 19.         24.          3.7       ],False
543,[19.60601473 19.         24.          3.7       ],"[tensor([-109.8437], grad_fn=<AddBackward0>)]",-7.65,[19.3978829 20.        24.         4.       ],False
544,[19.3978829 20.        24.         4.       ],"[tensor([-108.3406], grad_fn=<AddBackward0>)]",-9.69,[19.30519949 21.         24.          4.        ],False
545,[19.30519949 21.         24.          4.        ],"[tensor([-107.4411], grad_fn=<AddBackward0>)]",-11.2,[19.2006643 22.        24.         3.2      ],False
546,[19.2006643 22.        24.         3.2      ],"[tensor([-107.0805], grad_fn=<AddBackward0>)]",-12.16,[19.16732557 23.         24.          2.6       ],False
547,[19.16732557 23.         24.          2.6       ],"[tensor([-106.9758], grad_fn=<AddBackward0>)]",-12.56,[19.15922984  1.         25.          2.2       ],False
548,[19.15922984  1.         25.          2.2       ],"[tensor([-108.1449], grad_fn=<AddBackward0>)]",-12.64,[19.15923834  1.         25.          2.2       ],False
549,[19.15923834  1.         25.          2.2       ],"[tensor([-107.7314], grad_fn=<AddBackward0>)]",-13.0,[19.11679219  2.         25.          2.2       ],False
550,[19.11679219  2.         25.          2.2       ],"[tensor([-107.2345], grad_fn=<AddBackward0>)]",-13.17,[19.12618454  3.         25.          2.        ],False
551,[19.12618454  3.         25.          2.        ],"[tensor([-107.2269], grad_fn=<AddBackward0>)]",-13.36,[19.1037902  4.        25.         2.       ],False
552,[19.1037902  4.        25.         2.       ],"[tensor([-107.0977], grad_fn=<AddBackward0>)]",-13.67,[19.08041844  5.         25.          3.        ],False
553,[19.08041844  5.         25.          3.        ],"[tensor([-106.3539], grad_fn=<AddBackward0>)]",-13.93,[19.07036799  6.         25.          3.2       ],False
554,[19.07036799  6.         25.          3.2       ],"[tensor([-106.3455], grad_fn=<AddBackward0>)]",-13.82,[19.11343752  7.         25.          3.1       ],False
555,[19.11343752  7.         25.          3.1       ],"[tensor([-106.8365], grad_fn=<AddBackward0>)]",-12.87,[19.21594709  8.         25.          3.        ],False
556,[19.21594709  8.         25.          3.        ],"[tensor([-107.5646], grad_fn=<AddBackward0>)]",-20.28,[19.33693354  9.         25.          3.1       ],False
557,[19.33693354  9.         25.          3.1       ],"[tensor([-108.4781], grad_fn=<AddBackward0>)]",-18.36,[19.47455887 10.         25.          3.7       ],False
558,[19.47455887 10.         25.          3.7       ],"[tensor([-109.2817], grad_fn=<AddBackward0>)]",-16.78,[19.5517842 11.        25.         4.6      ],False
559,[19.5517842 11.        25.         4.6      ],"[tensor([-109.7429], grad_fn=<AddBackward0>)]",-15.71,[19.61561672 12.         25.          5.        ],False
560,[19.61561672 12.         25.          5.        ],"[tensor([-110.5703], grad_fn=<AddBackward0>)]",-14.9,[19.67174341 13.         25.          5.2       ],False
561,[19.67174341 13.         25.          5.2       ],"[tensor([-111.6011], grad_fn=<AddBackward0>)]",-15.440000000000001,[19.55494812 14.         25.          5.        ],False
562,[19.55494812 14.         25.          5.        ],"[tensor([-112.4116], grad_fn=<AddBackward0>)]",-16.34,[19.53116598 15.         25.          5.2       ],False
563,[19.53116598 15.         25.          5.2       ],"[tensor([-113.4234], grad_fn=<AddBackward0>)]",-6.99,[19.51559056 16.         25.          4.2       ],False
564,[19.51559056 16.         25.          4.2       ],"[tensor([-115.0468], grad_fn=<AddBackward0>)]",-7.19,[19.51124358 17.         25.          3.        ],False
565,[19.51124358 17.         25.          3.        ],"[tensor([-116.6815], grad_fn=<AddBackward0>)]",-7.52,[19.50324779 18.         25.          3.        ],False
566,[19.50324779 18.         25.          3.        ],"[tensor([-117.3745], grad_fn=<AddBackward0>)]",-8.06,[19.45720166 19.         25.          2.7       ],False
567,[19.45720166 19.         25.          2.7       ],"[tensor([-118.0126], grad_fn=<AddBackward0>)]",-9.76,[19.27534594 20.         25.          3.2       ],False
568,[19.27534594 20.         25.          3.2       ],"[tensor([-117.6028], grad_fn=<AddBackward0>)]",-11.42,[19.21394041 21.         25.          3.5       ],False
569,[19.21394041 21.         25.          3.5       ],"[tensor([-117.6716], grad_fn=<AddBackward0>)]",-12.44,[19.14428346 22.         25.          3.5       ],False
570,[19.14428346 22.         25.          3.5       ],"[tensor([-117.9179], grad_fn=<AddBackward0>)]",-13.42,[19.0833362 23.        25.         3.2      ],False
571,[19.0833362 23.        25.         3.2      ],"[tensor([-118.4381], grad_fn=<AddBackward0>)]",-14.2,[19.04343804  1.         26.          3.7       ],False
572,[19.04343804  1.         26.          3.7       ],"[tensor([-117.9536], grad_fn=<AddBackward0>)]",-14.53,[19.0416399  1.        26.         3.7      ],False
573,[19.0416399  1.        26.         3.7      ],"[tensor([-118.2423], grad_fn=<AddBackward0>)]",-14.85,[19.01096463  2.         26.          3.7       ],False
574,[19.01096463  2.         26.          3.7       ],"[tensor([-118.5128], grad_fn=<AddBackward0>)]",-15.18,[18.99501905  3.         26.          4.2       ],False
575,[18.99501905  3.         26.          4.2       ],"[tensor([-118.5686], grad_fn=<AddBackward0>)]",-15.42,[18.98370695  4.         26.          4.7       ],False
576,[18.98370695  4.         26.          4.7       ],"[tensor([-118.7173], grad_fn=<AddBackward0>)]",-15.55,[18.97892608  5.         26.          4.7       ],False
577,[18.97892608  5.         26.          4.7       ],"[tensor([-119.3271], grad_fn=<AddBackward0>)]",-15.35,[19.00802121  6.         26.          5.        ],False
578,[19.00802121  6.         26.          5.        ],"[tensor([-119.8841], grad_fn=<AddBackward0>)]",-14.7,[19.08383483  7.         26.          5.2       ],False
579,[19.08383483  7.         26.          5.2       ],"[tensor([-120.7128], grad_fn=<AddBackward0>)]",-13.4,[19.19721761  8.         26.          5.7       ],False
